Team,Team Name,League,Year,Games,Wins,Home Runs,RS,RA,OBP,SLG,BA,Playoffs,PlayoffsFinish,Total Home Attendance,Attendance Bin
ARI,Arizona Diamondbacks,NL,2012,162,81,165,734,688,0.328,0.418,0.259,No,,2177617,2M–2.5M
ATL,Atlanta Braves,NL,2012,162,94,149,700,600,0.32,0.389,0.247,Yes,5.0,2420171,2M–2.5M
BAL,Baltimore Orioles,AL,2012,162,93,214,712,705,0.311,0.417,0.247,Yes,4.0,2102240,2M–2.5M
BOS,Boston Red Sox,AL,2012,162,69,165,734,806,0.315,0.415,0.26,No,,3043003,>3M
CHC,Chicago Cubs,NL,2012,162,61,137,613,759,0.302,0.378,0.24,No,,2882756,2.5M–3M
CHW,Chicago White Sox,AL,2012,162,85,211,748,676,0.318,0.422,0.255,No,,1965955,1.5M–2M
CIN,Cincinnati Reds,NL,2012,162,97,172,669,588,0.315,0.411,0.251,Yes,4.0,2347251,2M–2.5M
CLE,Cleveland Indians,AL,2012,162,68,136,667,845,0.324,0.381,0.251,No,,1603596,1.5M–2M
COL,Colorado Rockies,NL,2012,162,64,166,758,890,0.33,0.436,0.274,No,,2630458,2.5M–3M
DET,Detroit Tigers,AL,2012,162,88,163,726,670,0.335,0.422,0.268,Yes,2.0,3028033,>3M
HOU,Houston Astros,NL,2012,162,55,146,583,794,0.302,0.371,0.236,No,,1607733,1.5M–2M
KCR,Kansas City Royals,AL,2012,162,72,131,676,746,0.317,0.4,0.265,No,,1739859,1.5M–2M
LAA,Los Angeles Angels,AL,2012,162,89,187,767,699,0.332,0.433,0.274,No,,3061770,>3M
LAD,Los Angeles Dodgers,NL,2012,162,86,116,637,597,0.317,0.374,0.252,No,,3324246,>3M
MIA,Miami Marlins,NL,2012,162,69,137,609,724,0.308,0.382,0.244,No,,2219444,2M–2.5M
MIL,Milwaukee Brewers,NL,2012,162,83,202,776,733,0.325,0.437,0.259,No,,2831385,2.5M–3M
MIN,Minnesota Twins,AL,2012,162,66,131,701,832,0.325,0.39,0.26,No,,2776354,2.5M–3M
NYM,New York Mets,NL,2012,162,74,139,650,709,0.316,0.386,0.249,No,,2242803,2M–2.5M
NYY,New York Yankees,AL,2012,162,95,245,804,668,0.337,0.453,0.265,Yes,3.0,3542406,>3M
OAK,Oakland Athletics,AL,2012,162,94,195,713,614,0.31,0.404,0.238,Yes,4.0,1679013,1.5M–2M
PHI,Philadelphia Phillies,NL,2012,162,81,158,684,680,0.317,0.4,0.255,No,,3565718,>3M
PIT,Pittsburgh Pirates,NL,2012,162,79,170,651,674,0.304,0.395,0.243,No,,2091918,2M–2.5M
SDP,San Diego Padres,NL,2012,162,76,121,651,710,0.319,0.38,0.247,No,,2123721,2M–2.5M
SEA,Seattle Mariners,AL,2012,162,75,149,619,651,0.296,0.369,0.234,No,,1721920,1.5M–2M
SFG,San Francisco Giants,NL,2012,162,94,103,718,649,0.327,0.397,0.269,Yes,1.0,3377371,>3M
STL,St. Louis Cardinals,NL,2012,162,88,159,765,648,0.338,0.421,0.271,Yes,3.0,3262109,>3M
TBR,Tampa Bay Rays,AL,2012,162,90,175,697,577,0.317,0.394,0.24,No,,1559681,1.5M–2M
TEX,Texas Rangers,AL,2012,162,93,200,808,707,0.334,0.446,0.273,Yes,5.0,3460280,>3M
TOR,Toronto Blue Jays,AL,2012,162,73,198,716,784,0.309,0.407,0.245,No,,2099663,2M–2.5M
WSN,Washington Nationals,NL,2012,162,98,194,731,594,0.322,0.428,0.261,Yes,4.0,2370794,2M–2.5M
ARI,Arizona Diamondbacks,NL,2011,162,94,172,731,662,0.322,0.413,0.25,Yes,4.0,2105432,2M–2.5M
ATL,Atlanta Braves,NL,2011,162,89,173,641,605,0.308,0.387,0.243,No,,2372940,2M–2.5M
BAL,Baltimore Orioles,AL,2011,162,69,191,708,860,0.316,0.413,0.257,No,,1755461,1.5M–2M
BOS,Boston Red Sox,AL,2011,162,90,203,875,737,0.349,0.461,0.28,No,,3054001,>3M
CHC,Chicago Cubs,NL,2011,162,71,148,654,756,0.314,0.401,0.256,No,,3017966,>3M
CHW,Chicago White Sox,AL,2011,162,79,154,654,706,0.319,0.388,0.252,No,,2001117,2M–2.5M
CIN,Cincinnati Reds,NL,2011,162,79,183,735,720,0.326,0.408,0.256,No,,2213588,2M–2.5M
CLE,Cleveland Indians,AL,2011,162,80,154,704,760,0.317,0.396,0.25,No,,1840835,1.5M–2M
COL,Colorado Rockies,NL,2011,162,73,163,735,774,0.329,0.41,0.258,No,,2909777,2.5M–3M
DET,Detroit Tigers,AL,2011,162,95,169,787,711,0.34,0.434,0.277,Yes,3.0,2642045,2.5M–3M
FLA,Florida Marlins,NL,2011,162,72,149,625,702,0.318,0.388,0.247,No,,1520562,1.5M–2M
HOU,Houston Astros,NL,2011,162,56,95,615,796,0.311,0.374,0.258,No,,2067016,2M–2.5M
KCR,Kansas City Royals,AL,2011,162,71,129,730,762,0.329,0.415,0.275,No,,1724450,1.5M–2M
LAA,Los Angeles Angels,AL,2011,162,86,155,667,633,0.313,0.402,0.253,No,,3166321,>3M
LAD,Los Angeles Dodgers,NL,2011,161,82,117,644,612,0.322,0.375,0.257,No,,2935139,2.5M–3M
MIL,Milwaukee Brewers,NL,2011,162,96,185,721,638,0.325,0.425,0.261,Yes,3.0,3071373,>3M
MIN,Minnesota Twins,AL,2011,162,63,103,619,804,0.306,0.36,0.247,No,,3168116,>3M
NYM,New York Mets,NL,2011,162,77,108,718,742,0.335,0.391,0.264,No,,2352596,2M–2.5M
NYY,New York Yankees,AL,2011,162,97,222,867,657,0.343,0.444,0.263,Yes,4.0,3653680,>3M
OAK,Oakland Athletics,AL,2011,162,74,114,645,679,0.311,0.369,0.244,No,,1476791,<1.5M
PHI,Philadelphia Phillies,NL,2011,162,102,153,713,529,0.323,0.395,0.253,Yes,4.0,3680718,>3M
PIT,Pittsburgh Pirates,NL,2011,162,72,107,610,712,0.309,0.368,0.244,No,,1940429,1.5M–2M
SDP,San Diego Padres,NL,2011,162,71,91,593,611,0.305,0.349,0.237,No,,2143018,2M–2.5M
SEA,Seattle Mariners,AL,2011,162,67,109,556,675,0.292,0.348,0.233,No,,1896321,1.5M–2M
SFG,San Francisco Giants,NL,2011,162,86,121,570,578,0.303,0.368,0.242,No,,3387303,>3M
STL,St. Louis Cardinals,NL,2011,162,90,162,762,692,0.341,0.425,0.273,Yes,1.0,3093954,>3M
TBR,Tampa Bay Rays,AL,2011,162,91,172,707,614,0.322,0.402,0.244,Yes,4.0,1529188,1.5M–2M
TEX,Texas Rangers,AL,2011,162,96,210,855,677,0.34,0.46,0.283,Yes,2.0,2946949,2.5M–3M
TOR,Toronto Blue Jays,AL,2011,162,81,186,743,761,0.317,0.413,0.249,No,,1818103,1.5M–2M
WSN,Washington Nationals,NL,2011,161,80,154,624,643,0.309,0.383,0.242,No,,1940478,1.5M–2M
ARI,Arizona Diamondbacks,NL,2010,162,65,180,713,836,0.325,0.416,0.25,No,,2057224,2M–2.5M
ATL,Atlanta Braves,NL,2010,162,91,139,738,629,0.339,0.401,0.258,Yes,4.0,2510121,2.5M–3M
BAL,Baltimore Orioles,AL,2010,162,66,133,613,785,0.316,0.386,0.259,No,,1733019,1.5M–2M
BOS,Boston Red Sox,AL,2010,162,89,211,818,744,0.339,0.451,0.268,No,,3046445,>3M
CHC,Chicago Cubs,NL,2010,162,75,149,685,767,0.32,0.401,0.257,No,,3062973,>3M
CHW,Chicago White Sox,AL,2010,162,88,177,752,704,0.332,0.42,0.268,No,,2194378,2M–2.5M
CIN,Cincinnati Reds,NL,2010,162,91,188,790,685,0.338,0.436,0.272,Yes,4.0,2060550,2M–2.5M
CLE,Cleveland Indians,AL,2010,162,69,128,646,752,0.322,0.378,0.248,No,,1391644,<1.5M
COL,Colorado Rockies,NL,2010,162,83,173,770,717,0.336,0.425,0.263,No,,2875245,2.5M–3M
DET,Detroit Tigers,AL,2010,162,81,152,751,743,0.335,0.415,0.268,No,,2461237,2M–2.5M
FLA,Florida Marlins,NL,2010,162,80,152,719,717,0.321,0.403,0.254,No,,1524894,1.5M–2M
HOU,Houston Astros,NL,2010,162,76,108,611,729,0.303,0.362,0.247,No,,2331490,2M–2.5M
KCR,Kansas City Royals,AL,2010,162,67,121,676,845,0.331,0.399,0.274,No,,1615326,1.5M–2M
LAA,Los Angeles Angels,AL,2010,162,80,155,681,702,0.311,0.39,0.248,No,,3250754,>3M
LAD,Los Angeles Dodgers,NL,2010,162,80,120,667,692,0.322,0.379,0.252,No,,3562318,>3M
MIL,Milwaukee Brewers,NL,2010,162,77,182,750,804,0.335,0.424,0.262,No,,2776531,2.5M–3M
MIN,Minnesota Twins,AL,2010,162,94,142,781,671,0.341,0.422,0.273,Yes,4.0,3223640,>3M
NYM,New York Mets,NL,2010,162,79,128,656,652,0.314,0.383,0.249,No,,2573077,2.5M–3M
NYY,New York Yankees,AL,2010,162,95,201,859,693,0.35,0.436,0.267,Yes,3.0,3765807,>3M
OAK,Oakland Athletics,AL,2010,162,81,109,663,626,0.324,0.378,0.256,No,,1418391,<1.5M
PHI,Philadelphia Phillies,NL,2010,162,97,166,772,640,0.332,0.413,0.26,Yes,3.0,3647249,>3M
PIT,Pittsburgh Pirates,NL,2010,162,57,126,587,866,0.304,0.373,0.242,No,,1613399,1.5M–2M
SDP,San Diego Padres,NL,2010,162,90,132,665,581,0.317,0.371,0.246,No,,2131774,2M–2.5M
SEA,Seattle Mariners,AL,2010,162,61,101,513,698,0.298,0.339,0.236,No,,2085168,2M–2.5M
SFG,San Francisco Giants,NL,2010,162,92,162,697,583,0.321,0.408,0.257,Yes,1.0,3037267,>3M
STL,St. Louis Cardinals,NL,2010,162,86,150,736,641,0.332,0.402,0.263,No,,3301218,>3M
TBR,Tampa Bay Rays,AL,2010,162,96,160,802,649,0.333,0.403,0.247,Yes,4.0,1865002,1.5M–2M
TEX,Texas Rangers,AL,2010,162,90,162,787,687,0.338,0.419,0.276,Yes,2.0,2505171,2.5M–3M
TOR,Toronto Blue Jays,AL,2010,162,85,257,755,728,0.312,0.454,0.248,No,,1625555,1.5M–2M
WSN,Washington Nationals,NL,2010,162,69,149,655,742,0.318,0.39,0.25,No,,1828065,1.5M–2M
ARI,Arizona Diamondbacks,NL,2009,162,70,173,720,782,0.324,0.418,0.253,No,,2129183,2M–2.5M
ATL,Atlanta Braves,NL,2009,162,86,149,735,641,0.339,0.405,0.263,No,,2373631,2M–2.5M
BAL,Baltimore Orioles,AL,2009,162,64,160,741,876,0.332,0.415,0.268,No,,1907163,1.5M–2M
BOS,Boston Red Sox,AL,2009,162,95,212,872,736,0.352,0.454,0.27,Yes,4.0,3062699,>3M
CHC,Chicago Cubs,NL,2009,161,83,161,707,672,0.332,0.407,0.255,No,,3168859,>3M
CHW,Chicago White Sox,AL,2009,162,79,184,724,732,0.329,0.411,0.258,No,,2284163,2M–2.5M
CIN,Cincinnati Reds,NL,2009,162,78,158,673,723,0.318,0.394,0.247,No,,1747919,1.5M–2M
CLE,Cleveland Indians,AL,2009,162,65,161,773,865,0.339,0.417,0.264,No,,1766242,1.5M–2M
COL,Colorado Rockies,NL,2009,162,92,190,804,715,0.343,0.441,0.261,Yes,4.0,2665080,2.5M–3M
DET,Detroit Tigers,AL,2009,163,86,183,743,745,0.331,0.416,0.26,No,,2567192,2.5M–3M
FLA,Florida Marlins,NL,2009,162,87,159,772,766,0.34,0.416,0.268,No,,1464109,<1.5M
HOU,Houston Astros,NL,2009,162,74,142,643,770,0.319,0.4,0.26,No,,2521081,2.5M–3M
KCR,Kansas City Royals,AL,2009,162,65,144,686,842,0.318,0.405,0.259,No,,1799686,1.5M–2M
LAA,Los Angeles Angels,AL,2009,162,97,173,883,761,0.35,0.441,0.285,Yes,3.0,3240386,>3M
LAD,Los Angeles Dodgers,NL,2009,162,95,145,780,611,0.346,0.412,0.27,Yes,3.0,3761669,>3M
MIL,Milwaukee Brewers,NL,2009,162,80,182,785,818,0.341,0.426,0.263,No,,3037451,>3M
MIN,Minnesota Twins,AL,2009,163,87,172,817,765,0.345,0.429,0.274,Yes,4.0,2416237,2M–2.5M
NYM,New York Mets,NL,2009,162,70,95,671,757,0.335,0.394,0.27,No,,3154270,>3M
NYY,New York Yankees,AL,2009,162,103,244,915,753,0.362,0.478,0.283,Yes,1.0,3719358,>3M
OAK,Oakland Athletics,AL,2009,162,75,135,759,761,0.328,0.397,0.262,No,,1408783,<1.5M
PHI,Philadelphia Phillies,NL,2009,162,93,224,820,709,0.334,0.447,0.258,Yes,2.0,3600693,>3M
PIT,Pittsburgh Pirates,NL,2009,161,62,125,636,768,0.318,0.387,0.252,No,,1577853,1.5M–2M
SDP,San Diego Padres,NL,2009,162,75,141,638,769,0.321,0.381,0.242,No,,1922603,1.5M–2M
SEA,Seattle Mariners,AL,2009,162,85,160,640,692,0.314,0.402,0.258,No,,2195128,2M–2.5M
SFG,San Francisco Giants,NL,2009,162,88,122,657,611,0.309,0.389,0.257,No,,2861111,2.5M–3M
STL,St. Louis Cardinals,NL,2009,162,91,160,730,640,0.332,0.415,0.263,Yes,4.0,3343252,>3M
TBR,Tampa Bay Rays,AL,2009,162,84,199,803,754,0.343,0.439,0.263,No,,1874962,1.5M–2M
TEX,Texas Rangers,AL,2009,162,87,224,784,740,0.32,0.445,0.26,No,,2156016,2M–2.5M
TOR,Toronto Blue Jays,AL,2009,162,75,209,798,771,0.333,0.44,0.266,No,,1876129,1.5M–2M
WSN,Washington Nationals,NL,2009,162,59,156,710,874,0.337,0.406,0.258,No,,1817280,1.5M–2M
ARI,Arizona Diamondbacks,NL,2008,162,82,159,720,706,0.327,0.415,0.251,No,,2509924,2.5M–3M
ATL,Atlanta Braves,NL,2008,162,72,130,753,778,0.345,0.408,0.27,No,,2532834,2.5M–3M
BAL,Baltimore Orioles,AL,2008,161,68,172,782,869,0.333,0.429,0.267,No,,1950075,1.5M–2M
BOS,Boston Red Sox,AL,2008,162,95,173,845,694,0.358,0.447,0.28,Yes,3.0,3048250,>3M
CHC,Chicago Cubs,NL,2008,161,97,184,855,671,0.354,0.443,0.278,Yes,4.0,3299840,>3M
CHW,Chicago White Sox,AL,2008,163,89,235,811,729,0.332,0.448,0.263,Yes,4.0,2501103,2.5M–3M
CIN,Cincinnati Reds,NL,2008,162,74,187,704,800,0.321,0.408,0.247,No,,2058632,2M–2.5M
CLE,Cleveland Indians,AL,2008,162,81,171,805,761,0.339,0.424,0.262,No,,2169760,2M–2.5M
COL,Colorado Rockies,NL,2008,162,74,160,747,822,0.336,0.415,0.263,No,,2650218,2.5M–3M
DET,Detroit Tigers,AL,2008,162,74,200,821,857,0.34,0.444,0.271,No,,3202654,>3M
FLA,Florida Marlins,NL,2008,161,84,208,770,767,0.326,0.433,0.254,No,,1335076,<1.5M
HOU,Houston Astros,NL,2008,161,86,167,712,743,0.323,0.415,0.263,No,,2779487,2.5M–3M
KCR,Kansas City Royals,AL,2008,162,75,120,691,781,0.32,0.397,0.269,No,,1578922,1.5M–2M
LAA,Los Angeles Angels,AL,2008,162,100,159,765,697,0.33,0.413,0.268,Yes,4.0,3336747,>3M
LAD,Los Angeles Dodgers,NL,2008,162,84,137,700,648,0.333,0.399,0.264,Yes,3.0,3730553,>3M
MIL,Milwaukee Brewers,NL,2008,162,90,198,750,689,0.325,0.431,0.253,Yes,4.0,3068908,>3M
MIN,Minnesota Twins,AL,2008,163,88,111,829,745,0.34,0.408,0.279,No,,2302431,2M–2.5M
NYM,New York Mets,NL,2008,162,89,172,799,715,0.34,0.42,0.266,No,,4042047,>3M
NYY,New York Yankees,AL,2008,162,89,180,789,727,0.342,0.427,0.271,No,,4298655,>3M
OAK,Oakland Athletics,AL,2008,161,75,125,646,690,0.318,0.369,0.242,No,,1665262,1.5M–2M
PHI,Philadelphia Phillies,NL,2008,162,92,214,799,680,0.332,0.438,0.255,Yes,1.0,3422583,>3M
PIT,Pittsburgh Pirates,NL,2008,162,67,153,735,884,0.32,0.403,0.258,No,,1609076,1.5M–2M
SDP,San Diego Padres,NL,2008,162,63,154,637,764,0.317,0.39,0.25,No,,2427535,2M–2.5M
SEA,Seattle Mariners,AL,2008,162,61,124,671,811,0.318,0.389,0.265,No,,2329702,2M–2.5M
SFG,San Francisco Giants,NL,2008,162,72,94,640,759,0.321,0.382,0.262,No,,2863837,2.5M–3M
STL,St. Louis Cardinals,NL,2008,162,86,174,779,725,0.35,0.433,0.281,No,,3430403,>3M
TBR,Tampa Bay Rays,AL,2008,162,97,180,774,671,0.34,0.422,0.26,Yes,2.0,1811986,1.5M–2M
TEX,Texas Rangers,AL,2008,162,79,194,901,967,0.354,0.462,0.283,No,,1945677,1.5M–2M
TOR,Toronto Blue Jays,AL,2008,162,86,126,714,610,0.331,0.399,0.264,No,,2399786,2M–2.5M
WSN,Washington Nationals,NL,2008,161,59,117,641,825,0.323,0.373,0.251,No,,2320400,2M–2.5M
ARI,Arizona Diamondbacks,NL,2007,162,90,171,712,732,0.321,0.413,0.25,Yes,3.0,2316507,2M–2.5M
ATL,Atlanta Braves,NL,2007,162,84,176,810,733,0.339,0.435,0.275,No,,2745303,2.5M–3M
