Team Name,Home Runs,Year
Baltimore Orioles,156,1962
Boston Red Sox,146,1962
Chicago Cubs,126,1962
Chicago White Sox,92,1962
Cincinnati Reds,167,1962
Cleveland Indians,180,1962
Detroit Tigers,209,1962
Houston Colt .45s,105,1962
Kansas City Athletics,116,1962
Los Angeles Angels,137,1962
Los Angeles Dodgers,140,1962
Minnesota Twins,185,1962
Milwaukee Braves,181,1962
New York Mets,139,1962
New York Yankees,199,1962
Philadelphia Phillies,142,1962
Pittsburgh Pirates,108,1962
San Francisco Giants,204,1962
St. Louis Cardinals,137,1962
Washington Senators,132,1962
Baltimore Orioles,146,1963
Boston Red Sox,171,1963
Chicago Cubs,127,1963
Chicago White Sox,114,1963
Cincinnati Reds,122,1963
Cleveland Indians,169,1963
Detroit Tigers,148,1963
Houston Colt .45s,62,1963
Kansas City Athletics,95,1963
Los Angeles Angels,95,1963
Los Angeles Dodgers,110,1963
Minnesota Twins,225,1963
Milwaukee Braves,139,1963
New York Mets,96,1963
New York Yankees,188,1963
Philadelphia Phillies,126,1963
Pittsburgh Pirates,108,1963
San Francisco Giants,197,1963
St. Louis Cardinals,128,1963
Washington Senators,138,1963
Baltimore Orioles,162,1964
Boston Red Sox,186,1964
Chicago Cubs,145,1964
Chicago White Sox,106,1964
Cincinnati Reds,130,1964
Cleveland Indians,164,1964
Detroit Tigers,157,1964
Houston Colt .45s,70,1964
Kansas City Athletics,166,1964
Los Angeles Angels,102,1964
Los Angeles Dodgers,79,1964
Minnesota Twins,221,1964
Milwaukee Braves,159,1964
New York Mets,103,1964
New York Yankees,162,1964
Philadelphia Phillies,130,1964
Pittsburgh Pirates,121,1964
San Francisco Giants,165,1964
St. Louis Cardinals,109,1964
Washington Senators,125,1964
Baltimore Orioles,125,1965
Boston Red Sox,165,1965
California Angels,92,1965
Chicago Cubs,134,1965
Chicago White Sox,125,1965
Cincinnati Reds,183,1965
Cleveland Indians,156,1965
Detroit Tigers,162,1965
Houston Astros,97,1965
Kansas City Athletics,110,1965
Los Angeles Dodgers,78,1965
Minnesota Twins,150,1965
Milwaukee Braves,196,1965
New York Mets,107,1965
New York Yankees,149,1965
Philadelphia Phillies,144,1965
Pittsburgh Pirates,111,1965
San Francisco Giants,159,1965
St. Louis Cardinals,109,1965
Washington Senators,136,1965
Atlanta Braves,207,1966
Baltimore Orioles,175,1966
Boston Red Sox,145,1966
California Angels,122,1966
Chicago Cubs,140,1966
Chicago White Sox,87,1966
Cincinnati Reds,149,1966
Cleveland Indians,155,1966
Detroit Tigers,179,1966
Houston Astros,112,1966
Kansas City Athletics,70,1966
Los Angeles Dodgers,108,1966
Minnesota Twins,144,1966
New York Mets,98,1966
New York Yankees,162,1966
Philadelphia Phillies,117,1966
Pittsburgh Pirates,158,1966
San Francisco Giants,181,1966
St. Louis Cardinals,108,1966
Washington Senators,126,1966
Atlanta Braves,158,1967
Baltimore Orioles,138,1967
Boston Red Sox,158,1967
California Angels,114,1967
Chicago Cubs,128,1967
Chicago White Sox,89,1967
Cincinnati Reds,109,1967
Cleveland Indians,131,1967
Detroit Tigers,152,1967
Houston Astros,93,1967
Kansas City Athletics,69,1967
Los Angeles Dodgers,82,1967
Minnesota Twins,131,1967
New York Mets,83,1967
New York Yankees,100,1967
Philadelphia Phillies,103,1967
Pittsburgh Pirates,91,1967
San Francisco Giants,140,1967
St. Louis Cardinals,115,1967
Washington Senators,115,1967
Atlanta Braves,80,1968
Baltimore Orioles,133,1968
Boston Red Sox,125,1968
California Angels,83,1968
Chicago Cubs,130,1968
Chicago White Sox,71,1968
Cincinnati Reds,106,1968
Cleveland Indians,75,1968
Detroit Tigers,185,1968
Houston Astros,66,1968
Los Angeles Dodgers,67,1968
Minnesota Twins,105,1968
New York Mets,81,1968
New York Yankees,109,1968
Oakland Athletics,94,1968
Philadelphia Phillies,100,1968
Pittsburgh Pirates,80,1968
San Francisco Giants,108,1968
St. Louis Cardinals,73,1968
Washington Senators,124,1968
Atlanta Braves,141,1969
Baltimore Orioles,175,1969
Boston Red Sox,197,1969
