Team,Team Name,League,Year,Games,Wins,Home Runs,RS,RA,OBP,SLG,BA,Playoffs,PlayoffsFinish
ARI,Arizona Diamondbacks,NL,2012,162,81,165,734,688,0.328,0.418,0.259,No,
ATL,Atlanta Braves,NL,2012,162,94,149,700,600,0.32,0.389,0.247,Yes,5.0
BAL,Baltimore Orioles,AL,2012,162,93,214,712,705,0.311,0.417,0.247,Yes,4.0
BOS,Boston Red Sox,AL,2012,162,69,165,734,806,0.315,0.415,0.26,No,
CHC,Chicago Cubs,NL,2012,162,61,137,613,759,0.302,0.378,0.24,No,
CHW,Chicago White Sox,AL,2012,162,85,211,748,676,0.318,0.422,0.255,No,
CIN,Cincinnati Reds,NL,2012,162,97,172,669,588,0.315,0.411,0.251,Yes,4.0
CLE,Cleveland Indians,AL,2012,162,68,136,667,845,0.324,0.381,0.251,No,
COL,Colorado Rockies,NL,2012,162,64,166,758,890,0.33,0.436,0.274,No,
DET,Detroit Tigers,AL,2012,162,88,163,726,670,0.335,0.422,0.268,Yes,2.0
HOU,Houston Astros,NL,2012,162,55,146,583,794,0.302,0.371,0.236,No,
KCR,Kansas City Royals,AL,2012,162,72,131,676,746,0.317,0.4,0.265,No,
LAA,Los Angeles Angels,AL,2012,162,89,187,767,699,0.332,0.433,0.274,No,
LAD,Los Angeles Dodgers,NL,2012,162,86,116,637,597,0.317,0.374,0.252,No,
MIA,Miami Marlins,NL,2012,162,69,137,609,724,0.308,0.382,0.244,No,
MIL,Milwaukee Brewers,NL,2012,162,83,202,776,733,0.325,0.437,0.259,No,
MIN,Minnesota Twins,AL,2012,162,66,131,701,832,0.325,0.39,0.26,No,
NYM,New York Mets,NL,2012,162,74,139,650,709,0.316,0.386,0.249,No,
NYY,New York Yankees,AL,2012,162,95,245,804,668,0.337,0.453,0.265,Yes,3.0
OAK,Oakland Athletics,AL,2012,162,94,195,713,614,0.31,0.404,0.238,Yes,4.0
PHI,Philadelphia Phillies,NL,2012,162,81,158,684,680,0.317,0.4,0.255,No,
PIT,Pittsburgh Pirates,NL,2012,162,79,170,651,674,0.304,0.395,0.243,No,
SDP,San Diego Padres,NL,2012,162,76,121,651,710,0.319,0.38,0.247,No,
SEA,Seattle Mariners,AL,2012,162,75,149,619,651,0.296,0.369,0.234,No,
SFG,San Francisco Giants,NL,2012,162,94,103,718,649,0.327,0.397,0.269,Yes,1.0
STL,St. Louis Cardinals,NL,2012,162,88,159,765,648,0.338,0.421,0.271,Yes,3.0
TBR,Tampa Bay Rays,AL,2012,162,90,175,697,577,0.317,0.394,0.24,No,
TEX,Texas Rangers,AL,2012,162,93,200,808,707,0.334,0.446,0.273,Yes,5.0
